SK_ID_CURR;app_IS_MASCULIN;app_DAYS_BIRTH;app_DAYS_EMPLOYED;app_DAYS_ID_PUBLISH;app_REGION_RATING_CLIENT;app_REG_CITY_NOT_WORK_CITY;app_EXT_SOURCE_1;app_EXT_SOURCE_2;app_EXT_SOURCE_3;app_DAYS_LAST_PHONE_CHANGE;app_NAME_INCOME_TYPE_Working;app_NAME_EDUCATION_TYPE_Higher education;pol_EXT_SOURCE_1 EXT_SOURCE_2;pol_EXT_SOURCE_1 EXT_SOURCE_3;pol_EXT_SOURCE_2 EXT_SOURCE_3;pol_EXT_SOURCE_2 DAYS_BIRTH;pol_EXT_SOURCE_3 DAYS_BIRTH;pol_EXT_SOURCE_1 EXT_SOURCE_2 EXT_SOURCE_3;pol_EXT_SOURCE_1 EXT_SOURCE_2 DAYS_BIRTH;pol_EXT_SOURCE_1 EXT_SOURCE_3 DAYS_BIRTH;pol_EXT_SOURCE_2 EXT_SOURCE_3 DAYS_BIRTH;agg_client_bureau_CREDIT_TYPE_Microloan_sum_nunique;agg_client_bureau_CREDIT_TYPE_Microloan_sum_var;agg_client_bureau_CREDIT_ACTIVE_Active_sum_mean;agg_client_bureau_CREDIT_ACTIVE_Active_sum_sum;agg_client_bureau_DAYS_CREDIT_mean_mean;agg_client_bureau_DAYS_CREDIT_mean_min;agg_client_bureau_DAYS_CREDIT_ENDDATE_count_nunique;agg_client_bureau_DAYS_CREDIT_ENDDATE_count_mean;agg_client_bureau_DAYS_CREDIT_ENDDATE_count_var;agg_client_bureau_DAYS_ENDDATE_FACT_mean_mean;agg_client_bureau_DAYS_ENDDATE_FACT_mean_min;agg_client_bureau_DAYS_ENDDATE_FACT_sum_mean;agg_client_bureau_DAYS_ENDDATE_FACT_sum_var;agg_client_bureau_AMT_CREDIT_SUM_DEBT_mean_nunique;agg_client_bureau_DAYS_CREDIT_UPDATE_mean_mean;agg_client_bureau_DAYS_CREDIT_UPDATE_mean_min;agg_client_bureau_balance_bureau_balance_MONTHS_BALANCE_count_mean_mean;agg_client_bureau_balance_bureau_balance_MONTHS_BALANCE_count_mean_max;agg_client_bureau_balance_bureau_balance_MONTHS_BALANCE_mean_mean_min;agg_client_bureau_balance_bureau_balance_MONTHS_BALANCE_sum_mean_sum;agg_client_bureau_balance_bureau_balance_STATUS_1_mean_mean_mean;agg_client_bureau_balance_bureau_balance_STATUS_1_mean_mean_max;agg_client_bureau_balance_bureau_balance_STATUS_1_mean_mean_sum;agg_client_bureau_balance_bureau_balance_STATUS_C_mean_mean_mean;agg_client_bureau_balance_bureau_balance_STATUS_C_sum_mean_mean;agg_client_bureau_balance_bureau_balance_STATUS_C_sum_mean_max;agg_client_cash_MONTHS_BALANCE_mean_min;agg_client_credit_NAME_CONTRACT_STATUS_Approved_mean_count;agg_client_credit_MONTHS_BALANCE_max_sum;agg_client_credit_AMT_BALANCE_mean_mean;agg_client_credit_AMT_BALANCE_max_mean;agg_client_credit_AMT_BALANCE_min_mean;agg_client_credit_AMT_CREDIT_LIMIT_ACTUAL_max_sum;agg_client_credit_AMT_CREDIT_LIMIT_ACTUAL_sum_sum;agg_client_credit_AMT_DRAWINGS_ATM_CURRENT_mean_nunique;agg_client_credit_AMT_DRAWINGS_CURRENT_mean_mean;agg_client_credit_AMT_DRAWINGS_CURRENT_max_mean;agg_client_credit_AMT_INST_MIN_REGULARITY_nunique_mean;agg_client_credit_CNT_DRAWINGS_ATM_CURRENT_nunique_mean;agg_client_credit_CNT_DRAWINGS_ATM_CURRENT_mean_sum;agg_client_credit_CNT_DRAWINGS_CURRENT_nunique_mean;agg_client_credit_CNT_DRAWINGS_CURRENT_mean_mean;agg_client_credit_CNT_DRAWINGS_CURRENT_mean_sum;agg_client_credit_CNT_DRAWINGS_CURRENT_max_mean;agg_client_credit_CNT_DRAWINGS_CURRENT_var_mean;agg_client_credit_CNT_DRAWINGS_OTHER_CURRENT_nunique_mean;agg_client_credit_CNT_DRAWINGS_POS_CURRENT_nunique_mean;agg_client_installments_AMT_PAYMENT_min_sum;TARGET
100129.0;0.0;-9415.0;-225.0;-2104.0;3.0;0.0;0.4795441447548665;0.6102072901939566;0.5352762504724826;0.0;1.0;1.0;0.2926213330992455;0.2566885917404183;0.3266294703059952;-5745.101637176102;-5039.625898198424;0.1566332499896235;-2755.029851129397;-2416.723091236039;-3075.2164629309445;1.0;0.0;1.0;1.0;-914.0;-914.0;1.0;1.0;0.0;-928.4000244140624;-1452.0;0.0;334119.1875;1.0;-28.0;-28.0;24.75;41.0;-38.0;-2687.0;0.0;0.0;0.0;0.3085143943684441;9.0;24.0;-45.5;22.0;-30.0;26793.60546875;97156.5859375;0.0;6210000.0;129285000.0;1.0;3473.671875;68997.375;4.0;2.0;3.142857313156128;3.0;0.2162162162162162;9.0;3.0;0.4938461538461538;1.0;1.0;150829.5625;0
101170.0;0.0;-19380.0;-2632.0;-2909.0;1.0;1.0;0.5059979305057544;0.7785318489879773;0.1538025863067176;-1511.0;0.0;1.0;0.393935504420735;0.0778237903776317;0.1197402118965018;-15087.947233387002;-2980.694122624187;0.0605882994179504;-7634.470075673845;-1508.225057518504;-2320.565306554205;1.0;0.0;0.3636363636363636;4.0;-707.6363636363636;-1455.0;2.0;0.8181818181818182;0.1636363636363636;-658.5714111328125;-1271.0;-419.0909118652344;192312.6875;4.0;-421.0;-1259.0;24.75;41.0;-38.0;-2687.0;0.0;0.0;0.0;0.3085143943684441;9.0;24.0;-46.5;38.0;-114.0;0.0;0.0;0.0;7695000.0;214605000.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;585463.5;0
104070.0;1.0;-20170.0;-938.0;-3312.0;2.0;1.0;0.5059979305057544;0.6112990086932312;0.5352762504724826;-449.0;1.0;0.0;0.3093160333189941;0.270848674987956;0.3272138412908583;-12329.901005342474;-10796.521972029974;0.1655695265260126;-6238.904392044112;-5463.017774507072;-6599.903178836612;1.0;0.0;0.375;2.0;-1050.571428571429;-1827.0;1.0;1.0;0.0;-928.4000244140624;-1452.0;-515.2000122070312;334119.1875;2.0;-481.6904754638672;-1054.0;24.75;41.0;-38.0;-2687.0;0.0;0.0;0.0;0.3085143943684441;9.0;24.0;-11.0;22.0;-30.0;26793.60546875;97156.5859375;0.0;6210000.0;129285000.0;1.0;3473.671875;68997.375;4.0;2.0;3.142857313156128;3.0;0.2162162162162162;9.0;3.0;0.4938461538461538;1.0;1.0;105358.859375;1
106381.0;1.0;-11167.0;-2946.0;-3186.0;2.0;0.0;0.5059979305057544;0.4017183330985633;0.0542129844258891;0.0;0.0;0.0;0.2032686451940943;0.0274316579260405;0.0217783497358665;-4485.988625711657;-605.3963970839036;0.011019799896179;-2269.900960882452;-306.32932406009513;-243.19883150042168;1.0;0.0;0.625;5.0;-976.0;-2865.0;2.0;0.75;0.2142857142857142;-1864.0;-2606.0;-699.0;1361251.125;6.0;-229.25;-600.0;32.75;95.0;-47.0;-8750.0;0.0234375;0.1875;0.1875;0.1041666666666666;1.875;15.0;-94.0;17.0;-34.0;0.0;0.0;0.0;9180000.0;45900000.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;527668.75;1
106954.0;1.0;-24014.0;-1648.0;-3987.0;2.0;0.0;0.5059979305057544;0.6600836006771286;0.4083588531230431;-1124.0;0.0;0.0;0.3340009359034138;0.2066287345839631;0.2695509821378409;-15851.247586660566;-9806.329498896755;0.1363922391275411;-8020.698474784579;-4961.982432299291;-6472.997285058113;1.0;0.0;0.4;2.0;-1561.0;-2431.0;2.0;0.8;0.2;-1215.0;-2066.0;-729.0;764213.0;3.0;-250.1999969482422;-452.0;35.8;47.0;-75.0;-4585.0;0.0048780487804878;0.024390243902439;0.024390243902439;0.5239231966787753;22.4;36.0;-94.5;22.0;-30.0;26793.60546875;97156.5859375;0.0;6210000.0;129285000.0;1.0;3473.671875;68997.375;4.0;2.0;3.142857313156128;3.0;0.2162162162162162;9.0;3.0;0.4938461538461538;1.0;1.0;1375356.5;0
107220.0;0.0;-12114.0;-3525.0;-4144.0;3.0;0.0;0.2908993117962649;0.6171127660202299;0.6577838002083306;0.0;1.0;0.0;0.1795176789359743;0.1913488547913351;0.4059267803898612;-7475.704047569066;-7968.392955723717;0.1180838210550841;-2174.677162630393;-2318.0000269422344;-4917.397017642778;1.0;0.0;0.6666666666666666;2.0;-2021.0;-2858.0;1.0;1.0;0.0;-2364.0;-2364.0;-788.0;1862832.0;2.0;-1003.6666870117188;-2362.0;24.75;41.0;-38.0;-2687.0;0.0;0.0;0.0;0.3085143943684441;9.0;24.0;-71.5;22.0;-30.0;26793.60546875;97156.5859375;0.0;6210000.0;129285000.0;1.0;3473.671875;68997.375;4.0;2.0;3.142857313156128;3.0;0.2162162162162162;9.0;3.0;0.4938461538461538;1.0;1.0;246107.921875;1
108504.0;0.0;-23468.0;-1648.0;-4494.0;2.0;0.0;0.5059979305057544;0.2387344572957865;0.3774042489507649;-1155.0;0.0;1.0;0.1207991413320823;0.1909657689331655;0.0900993985543847;-5602.620243817517;-8856.922914376551;0.0455901092083318;-2834.9142487813083;-4481.584665323529;-2114.452685274301;1.0;0.0;0.4285714285714285;3.0;-1422.2857142857142;-2914.0;1.0;1.0;0.0;-1281.5;-2254.0;-732.2857055664062;879596.9375;1.0;-819.1428833007812;-2254.0;24.75;41.0;-38.0;-2687.0;0.0;0.0;0.0;0.3085143943684441;9.0;24.0;-26.5;22.0;-30.0;26793.60546875;97156.5859375;0.0;6210000.0;129285000.0;1.0;3473.671875;68997.375;4.0;2.0;3.142857313156128;3.0;0.2162162162162162;9.0;3.0;0.4938461538461538;1.0;1.0;11381.849609375;1
109151.0;1.0;-17405.0;-454.0;-924.0;1.0;0.0;0.6528528988672188;0.6993088314127529;0.7032033049040319;-1871.0;0.0;0.0;0.4565457977912629;0.4590883160996059;0.4917562813980243;-12171.470210738964;-12239.253521854676;0.3210445138468639;-7946.179610556931;-7990.432141713642;-8559.018077732615;1.0;0.0;0.75;6.0;-1334.375;-2490.0;1.0;1.0;0.0;-1302.0;-1302.0;-325.5;363258.0;2.0;-378.0;-1302.0;33.0;68.0;-66.5;-8924.0;0.0041666666666666;0.0333333333333333;0.0333333333333333;0.2661301209590323;12.25;37.0;-58.0;22.0;-30.0;26793.60546875;97156.5859375;0.0;6210000.0;129285000.0;1.0;3473.671875;68997.375;4.0;2.0;3.142857313156128;3.0;0.2162162162162162;9.0;3.0;0.4938461538461538;1.0;1.0;94170.328125;0
110184.0;0.0;-13128.0;-601.0;-2729.0;2.0;1.0;0.5059979305057544;0.4189334138842012;0.6178261467332483;-983.0;0.0;0.0;0.2119794404451164;0.3126187516593682;0.2588280168378811;-5499.757857471794;-8110.821654314084;0.1309664408768764;-2782.8660941634894;-4104.058971784186;-3397.8942050477035;1.0;0.0;1.0;1.0;-979.0;-979.0;1.0;1.0;0.0;-928.4000244140624;-1452.0;0.0;334119.1875;1.0;-20.0;-20.0;24.75;41.0;-38.0;-2687.0;0.0;0.0;0.0;0.3085143943684441;9.0;24.0;-31.5;22.0;-30.0;26793.60546875;97156.5859375;0.0;6210000.0;129285000.0;1.0;3473.671875;68997.375;4.0;2.0;3.142857313156128;3.0;0.2162162162162162;9.0;3.0;0.4938461538461538;1.0;1.0;115766.546875;1
111056.0;1.0;-8470.0;-456.0;-1125.0;3.0;0.0;0.1089619748860387;0.2664000973284412;0.4031416766587513;0.0;1.0;0.0;0.0290274807147398;0.0439271132476063;0.1073969818990423;-2256.408824371897;-3414.6100012996235;0.0117021872445198;-245.86276165384675;-372.0626492072262;-909.6524366848884;1.0;0.0;0.0;0.0;-226.0;-226.0;1.0;1.0;0.0;-42.0;-42.0;-42.0;334119.1875;1.0;-42.0;-42.0;24.75;41.0;-38.0;-2687.0;0.0;0.0;0.0;0.3085143943684441;9.0;24.0;-14.0;22.0;-30.0;26793.60546875;97156.5859375;0.0;6210000.0;129285000.0;1.0;3473.671875;68997.375;4.0;2.0;3.142857313156128;3.0;0.2162162162162162;9.0;3.0;0.4938461538461538;1.0;1.0;69275.4296875;1
